key,en,es,ru,ko,ja,it,de,fr,nl,zh,ar,ur
trackOrderGuest,Track your Order by guest,Rastree su pedido por invitado,Отслеживать свой заказ по гостю,손님으로 주문을 추적하십시오,ゲストごとに注文を追跡します,Traccia il tuo ordine per ospite,Verfolgen Sie Ihre Bestellung nach Gast,Suivez votre commande par invité,Volg uw bestelling door gast,通过客人跟踪您的订单,تتبع طلبك بواسطة الضيف,مہمان کے ذریعہ اپنے آرڈر کو ٹریک کریں
removeAddress,Remove Address,Eliminar dirección,Удалить адрес,주소를 제거하십시오,アドレスを削除します,Rimuovere l'indirizzo,Adresse entfernen,Supprimer l'adresse,Adres verwijderen,删除地址,إزالة العنوان,ایڈریس کو ہٹا دیں
areYouSureYouWantToRemoveAddress,Are you sure you want to remove address ?,¿Estás seguro de que quieres eliminar la dirección?,"Вы уверены, что хотите удалить адрес?",주소를 제거하고 싶습니까?,アドレスを削除したいですか？,Sei sicuro di voler rimuovere l'indirizzo?,"Sind Sie sicher, dass Sie die Adresse entfernen möchten?",Êtes-vous sûr de vouloir supprimer l'adresse?,Weet u zeker dat u het adres wilt verwijderen?,您确定要删除地址吗,هل أنت متأكد أنك تريد إزالة العنوان؟,کیا آپ کو یقین ہے کہ آپ ایڈریس کو ہٹانا چاہتے ہیں؟
estimatedDeliveryDate,Estimated Delivery Date,Fecha estimada de entrega,Предполагаемая дата поставки,예상 배송 날짜,配送予定日,Data stimata di consegna,Voraussichtliches Lieferdatum,Date de livraison estimée,verwachte leveringsdatum,预计交货日期,التاريخ المتوقع للوصول,مثوقع ثرسیل کی ثاریخ
passwordRegExp,"The password must be maximum 8 characters long and contain a mixture of both uppercase and lowercase letters, at least one number and one special character (e.g.,! @ # ?).","La contraseña debe tener un máximo de 8 caracteres de largo y contener una mezcla de letras mayúsculas y minúsculas, al menos un número y un carácter especial (por ejemplo ,! @ #?).","Пароль должен быть максимум 8 символов в длину и содержать смесь как прописных, так и строчных букв, по крайней мере одного числа и одного специального символа (например,! @ #?).","비밀번호의 길이는 최대 8 자이어야하며 대문자와 소문자의 혼합물, 최소 1 개의 숫자와 하나의 특수 문자 (예 :! @ #?)가 포함되어 있습니다.",パスワードは最大8文字の長さで、大文字と小文字の両方の混合物、少なくとも1つの数字と1つの特殊文字（例：！ @＃？）が含まれている必要があります。,"La password deve essere lunga al massimo 8 caratteri e contenere una miscela di lettere maiuscole e minuscole, almeno un numero e un carattere speciale (ad esempio ,! @ #?).","Das Passwort muss maximal 8 Zeichen lang sein und eine Mischung aus Großbuchstaben und Kleinbuchstaben enthalten, mindestens eine Zahl und ein spezielles Zeichen (z. B.! @ #?).","Le mot de passe doit contenir un maximum de 8 caractères et contenir un mélange de lettres majuscules et minuscules, au moins un numéro et un caractère spécial (par exemple ,! @ #?).","Het wachtwoord moet maximaal 8 tekens lang zijn en een combinatie van zowel hoofdletters als kleine letters bevatten, ten minste één nummer en één speciaal teken (bijv.,! @ #?).",密码必须长8个字符，并包含大写字母和小写字母的混合物，至少一个数字和一个特殊字符（例如，！ @＃？）。,يجب أن تكون كلمة المرور كحد أقصى 8 أحرف وتحتوي على مزيج من الأحرف الكبيرة والصغيرة ، وعدد واحد على الأقل وحرف خاص واحد (على سبيل المثال ،! @ #؟).,پاس ورڈ زیادہ سے زیادہ 8 حروف لمبا ہونا چاہئے اور اس میں بڑے اور چھوٹے حروف دونوں کا مرکب ، کم از کم ایک نمبر اور ایک خاص کردار (جیسے ،! @ #؟) ہونا چاہئے۔
scrollToSeeMoreImages,Scroll To See More Images,Desplácese para ver más imágenes,"Прокрутите, чтобы увидеть больше изображений",더 많은 이미지를 보려면 스크롤하십시오,スクロールして、より多くの画像を表示します,Scorri per vedere più immagini,"Scrollen Sie, um mehr Bilder zu sehen",Faites défiler pour voir plus d'images,Scroll om meer afbeeldingen te zien,滚动查看更多图像,قم بالتمرير لرؤية المزيد من الصور,مزید تصاویر دیکھنے کے لئے سکرول کریں
msText,Ms.,Milisegundo.,РС.,미사,MS。,SM.,MS.,M / s.,Mevr.,小姐。,آنسة.,MS.
descriptionIsRequired,Description is Required,Se requiere una descripción,Описание требуется,설명이 필요합니다,説明が必要です,È richiesta una descrizione,Beschreibung ist erforderlich,Description est requise,Beschrijving is vereist,需要说明,الوصف مطلوب,تفصیل ضروری ہے
findItCheaperText,"FIND IT CHEAPER, WE'LL BEAT THAT PRICE","Encuéntralo más barato, venceremos ese precio","Найди его дешевле, мы победим эту цену",더 저렴한 것을 찾으십시오. 우리는 그 가격을 이길 것입니다,安く見つけて、その価格を打ち負かします,"Trovalo più economico, batteremo quel prezzo","Finden Sie es billiger, wir werden diesen Preis übertreffen","Trouvez-le moins cher, nous allons battre ce prix","Vind het goedkoper, we zullen die prijs verslaan",找到便宜的，我们会击败这个价格,ابحث عنه أرخص ، وسنقوم بالتغلب على هذا السعر,اسے سستا تلاش کریں ، ہم اس قیمت کو شکست دیں گے
fasterKeepMoreThanOneaddress,"Faster, Keep More Than One Address,\nTrack Orders And More.","Más rápido, mantenga más de una dirección, órdenes de \ ntrack y más.","Быстрее, держите более одного адреса, \ ntrack заказы и больше.","더 빨리, 하나 이상의 주소, \ ntrack 주문 등을 유지하십시오.",より速く、複数のアドレス、\ ntrack注文などを保持します。,"Più veloce, mantieni più di un indirizzo, ordini \ ntrack e più.","Schneller, behalten Sie mehr als eine Adresse, \ nTrack -Bestellungen und mehr.","Plus vite, gardez plus d'une adresse, des ordres \ ntrack et plus encore.","Sneller, houd meer dan één adres, \ ntrack bestellingen en meer.",更快，保留多个地址，\ ntrack订单等等。,أسرع ، احتفظ بأكثر من عنوان واحد ، أوامر \ ntrack وأكثر من ذلك.,تیز تر ، ایک سے زیادہ ایڈریس ، \ n ٹریک آرڈرز اور بہت کچھ رکھیں۔
thankyouSuvanandnat,Thank you for your Interest in working with Suvanandnat,Gracias por su interés en trabajar con Suvanandnat,Спасибо за ваш интерес к работе с Сувананднатом,Suvanandnat와 함께 일하는 데 관심을 가져 주셔서 감사합니다,Suvanandnatと仕事をしてくれてありがとう,Grazie per il tuo interesse a lavorare con Suvanandnat,Vielen Dank für Ihr Interesse an der Arbeit mit Suvanandnat,Merci de votre intérêt à travailler avec Suvanandnat,Bedankt voor je interesse in het werken met Suvanandnat,感谢您对与Suvanandnat合作的兴趣,شكرا لك على اهتمامك بالعمل مع Suvanandnat,سووانندنت ​​کے ساتھ کام کرنے میں آپ کی دلچسپی کا شکریہ
weAimtoBringYouBest,"We aim to bring you the best value for money, so you can shop the brands you love all year round.","Nuestro objetivo es brindarle la mejor relación calidad -precio, para que pueda comprar las marcas que aman durante todo el año.","Мы стремимся принести вам лучшее соотношение цены и качества, чтобы вы могли купить бренды, которые вы любите круглый год.",우리는 당신에게 돈을위한 최고의 가치를 가져 오는 것을 목표로하므로 일년 내내 좋아하는 브랜드를 쇼핑 할 수 있습니다.,私たちはあなたにお金に最適な価値をもたらすことを目指していますので、あなたは一年中愛するブランドを買い物することができます。,"Miriamo a offrirti il ​​miglior rapporto qualità -prezzo, in modo da poter acquistare i marchi che ami tutto l'anno.","Wir wollen Ihnen das beste Preis -Leistungs -Verhältnis bringen, damit Sie die Marken, die Sie das ganze Jahr über lieben, einkaufen können.","Nous visons à vous apporter le meilleur rapport qualité-prix, afin que vous puissiez acheter les marques que vous aimez toute l'année.","We willen u de beste waar voor uw geld brengen, zodat u het hele jaar door de merken kunt winkelen waar u van houdt.",我们的目标是为您带来最佳价值，因此您可以全年购买自己喜欢的品牌。,نهدف إلى تقديم أفضل قيمة مقابل المال ، حتى تتمكن من التسوق في العلامات التجارية التي تحبها على مدار السنة.,ہمارا مقصد آپ کو پیسے کی بہترین قیمت لانا ہے ، لہذا آپ سارا سال جس برانڈز کو پسند کرتے ہیں اس کی خریداری کرسکتے ہیں۔
weBeatAnyPriceText,"We\'ll beat any price, so you get more with every purchase. If you find it cheaper somewhere else, we\'ll match that price","Vamos a superar cualquier precio, por lo que obtienes más con cada compra. Si lo encuentra más barato en otro lugar, coincidiremos con ese precio","Мы победим любую цену, так что вы получаете больше с каждой покупкой. Если вы найдете это дешевле в другом месте, мы сопоставим эту цену","우리는 모든 가격을이기므로 구매할 때마다 더 많은 것을 얻습니다. 다른 곳에서 더 저렴하다면, 우리는 그 가격과 일치합니다.",私たちは任意の価格を打ち負かすので、あなたは購入するたびにもっと多くを得ることができます。他の場所で安く見つけたら、その価格に一致します,"Battiamo qualsiasi prezzo, quindi otterrai di più ad ogni acquisto. Se lo trovi più economico da qualche altra parte, corrisponderemo a quel prezzo","Wir werden jeden Preis übertreffen, sodass Sie bei jedem Kauf mehr erhalten. Wenn Sie es woanders billiger finden, entsprechen wir diesen Preis","Nous allons battre n'importe quel prix, vous obtenez donc plus à chaque achat. Si vous le trouvez moins cher ailleurs, nous allons correspondre à ce prix","We zullen elke prijs verslaan, dus u krijgt meer bij elke aankoop. Als je het ergens anders goedkoper vindt, zullen we die prijs matchen",我们将击败任何价格，因此每次购买都会收到更多。如果您在其他地方找到便宜的地方，我们将匹配这个价格,لقد تغلبنا على أي سعر ، حتى تحصل على المزيد مع كل عملية شراء. إذا وجدت أنه أرخص في مكان آخر ، فسنطابق هذا السعر,ہم کسی بھی قیمت کو شکست دیں گے ، لہذا آپ کو ہر خریداری کے ساتھ زیادہ مل جائے گا۔ اگر آپ کو کہیں اور سستا لگتا ہے تو ، ہم اس قیمت سے ملیں گے
girlsText,Girls,Muchachas,Девушки,여자,女の子,Ragazze,Mädchen,Les filles,Meisjes,女孩们,فتيات,لڑکیاں
boysText,Boys,Niños,Мальчики,소년들,男の子,Ragazzi,Jungen,Garçons,Jongens,男孩们,أولاد,لڑکے
allText,All,Todos,Все,모두,全て,Tutti,Alles,Tout,Alle,全部,الجميع,سب
noCountryMatches,No Country Matches,No hay partidos de país,Нет страновых матчей,국가 일치가 없습니다,カントリーマッチはありません,Nessuna corrispondenza di campagna,Keine Landspiele,Pas de matchs de pays,Geen landwedstrijden,没有国家比赛,لا توجد مباريات بلد,کوئی ملک مماثل نہیں ہے
suvandnutAddress,"SUVANDNUTS, O LABELS LTD,","Suvandnuts, O Labels Ltd,","Suvandnuts, o Labels Ltd,","Suvandnuts, o Labels Ltd,",Suvandnuts、O Labels Ltd、,"Suvandnuts, O Ebels Ltd,","SUVANDNUTS, o LAMELS LTD,","Suvandnuts, O Labels Ltd,","Suvandnuts, O Labels Ltd,",Suvandnuts，O Labels Ltd，,Suvandnuts ، O Labels Ltd ،,سووینڈ نٹس ، اے لیبل لمیٹڈ ،
mustBeMoreTham2Char,must be more than 2 charater,Debe ser más de 2 Charater,Должен быть более 2 Харатера,2 개 이상의 차저 여야합니다,2つ以上の登場者でなければなりません,Deve essere più di 2 charater,Muss mehr als 2 Charater sein,doit être plus de 2 charater,Moet meer dan 2 charater zijn,必须超过2个,يجب أن يكون أكثر من 2 Charater,2 چارٹر سے زیادہ ہونا چاہئے
orWriteEmail,Or Write To Us At care@avoirchic.com For Further Assistance,O escríbanos a care@avoirchic.com para obtener más ayuda,Или напишите нам по адресу care@avoirchic.com для получения дополнительной помощи,또는 추가 지원을 위해 Care@avoirchic.com으로 우리에게 편지를 보내십시오,または、さらなる支援については、care@avoirchic.comに私たちに手紙を書いてください,Oppure scrivici a care@avoirchic.com per ulteriore assistenza,"Oder schreiben Sie uns an care@avoirchic.com, um weitere Unterstützung zu erhalten",Ou écrivez-nous à care@avoirchic.com pour une aide supplémentaire,Of schrijf ons op care@avoirchic.com voor verdere hulp,或通过care@avoirchic.com写信给我们以获取进一步的帮助,أو اكتب إلينا على care@avoirchic.com لمزيد من المساعدة,یا مزید مدد کے لئے ہمیں دیکھ بھال@avoirchic.com پر لکھیں
youHaveNoStoreCredit,You Have No Store Credit,No tienes crédito de la tienda,У вас нет кредита магазина,당신은 상점 크레딧이 없습니다,ストアクレジットはありません,Non hai credito per il negozio,Sie haben keinen Ladenguthaben,Vous n'avez pas de crédit en magasin,U hebt geen winkelkrediet,您没有商店信用,ليس لديك ائتمان متجر,آپ کے پاس اسٹور کریڈٹ نہیں ہے
popupBox,PopUp Box,Ventana de diálogo,Всплывающая коробка,팝업 박스,ポップアップボックス,Scatola popup,Pop-up-Box,Boîte contextuelle,Pop -updoos,弹出框,مربع المنبثقة,پاپ اپ باکس
u2022Text,\u2022,\ u2022,\ U2022,\ u2022,\ u2022,\ U2022,\ u2022,\ U2022,\ u2022,\ U2022,\ u2022,\ U2022
enterIsProductAvailableOnWebsite,Enter Is The Product Currently Available On The Website?,Ingrese el producto actualmente disponible en el sitio web?,Введите ли продукт доступен в настоящее время на веб -сайте?,Enter는 현재 웹 사이트에서 사용할 수 있습니까?,ENTER製品は現在Webサイトで利用可能ですか？,Enter è il prodotto attualmente disponibile sul sito Web?,ENTER IST Das derzeit auf der Website verfügbare Produkt?,"Entrée, le produit est-il actuellement disponible sur le site Web?",Enter Is het product momenteel beschikbaar op de website?,Enter是网站上当前可用的产品吗？,أدخل هل المنتج متاح حاليًا على الموقع؟,داخل کریں کیا فی الحال ویب سائٹ پر دستیاب مصنوعات؟
enterPriceIncludingDuties,Enter Price Including Duties And Taxes,"Ingrese el precio, incluidos los aranceles e impuestos","Введите цену, включая пошлины и налоги",관세 및 세금을 포함한 가격을 입력하십시오,業務や税金を含む価格を入力します,Immettere il prezzo compresi i doveri e le tasse,Geben Sie den Preis einschließlich Pflichten und Steuern ein,"Entrez le prix, y compris les droits et les taxes","Voer de prijs in, inclusief rechten en belastingen",输入包括职责和税款的价格,أدخل السعر بما في ذلك الواجبات والضرائب,فرائض اور ٹیکس سمیت قیمت درج کریں
enterLinkToCheaperProduct,Enter Link To The Cheaper Product,Ingrese el enlace al producto más barato,Введите ссылку на более дешевый продукт,더 저렴한 제품에 링크를 입력하십시오,安価な製品へのリンクを入力します,Immettere il collegamento al prodotto più economico,Geben Sie den Link zum billigeren Produkt ein,Entrez le lien vers le produit moins cher,Voer link naar het goedkopere product in,输入链接到更便宜的产品,أدخل الرابط إلى المنتج الأرخص,سستی مصنوعات کا لنک درج کریں
enterStyleName,Enter Style Name,Ingrese el nombre de estilo,Введите название стиля,스타일 이름을 입력하십시오,スタイル名を入力します,Immettere il nome di stile,Geben Sie den Stilnamen ein,Entrez le nom du style,Voer de stijlnaam in,输入样式名称,أدخل اسم النمط,اسٹائل کا نام درج کریں
enterProductName,Enter Product Name,Ingrese el nombre del producto,Введите название продукта,제품 이름을 입력하십시오,製品名を入力します,Immettere il nome del prodotto,Geben Sie den Produktnamen ein,Entrez le nom du produit,Voer de productnaam in,输入产品名称,أدخل اسم المنتج,پروڈکٹ کا نام درج کریں
orderIdText,OrderId,Solicitar ID,Номер заказа,주문 아이디,OrderId,ID ordine,Auftragsnummer,Numéro de commande,Order ID,Orderid,رقم التعريف الخاص بالطلب,آرڈر کی شناخت
createSupportTicketAssistance,Please Create a Support Ticket For Further Assistance.,Cree un boleto de soporte para obtener más ayuda.,"Пожалуйста, создайте билет на поддержку для получения дополнительной помощи.",추가 지원을 위해 지원 티켓을 작성하십시오.,さらなる支援のためにサポートチケットを作成してください。,Si prega di creare un biglietto di supporto per ulteriore assistenza.,Bitte erstellen Sie ein Support -Ticket für weitere Unterstützung.,Veuillez créer un ticket d'assistance pour plus d'assistance.,Maak een ondersteuningsticket voor verdere hulp.,请创建支持票以进一步帮助。,يرجى إنشاء تذكرة دعم لمزيد من المساعدة.,براہ کرم مزید مدد کے لئے سپورٹ ٹکٹ بنائیں۔
orderNotEligible,This Order Is Not Eligible For,Esta orden no es elegible para,Этот заказ не имеет права на,이 주문은 적격이 없습니다,この注文は資格がありません,Questo ordine non è idoneo per,Diese Bestellung ist nicht berechtigt,Cet ordre n'est pas éligible pour,Deze bestelling komt niet in aanmerking voor,该订单不符合资格,هذا الطلب غير مؤهل ل,یہ آرڈر اہل نہیں ہے
thankyouAvoirchic,Thank you for your Interest in working with Avoirchic,Gracias por su interés en trabajar con Avoirchic,Спасибо за интерес к работе с Avoirchic,Avoirchic과 함께 일하는 데 관심을 가져 주셔서 감사합니다,Avoirchicと仕事をしてくれてありがとう,Grazie per il tuo interesse a lavorare con Avoirchic,Vielen Dank für Ihr Interesse an der Arbeit mit Avoirchic,Merci pour votre intérêt à travailler avec Agoirchic,Bedankt voor je interesse om met avoirchic te werken,感谢您对与Avoirchic合作的兴趣,شكرًا لك على اهتمامك بالعمل مع Avoirchic,ایوورچک کے ساتھ کام کرنے میں آپ کی دلچسپی کا شکریہ
yesText,Yes,Sí,Да,예,はい,sì,Ja,Oui,Ja,是的,نعم,جی ہاں
noText,No,No,Нет,아니,いいえ,No,Nein,Non,Nee,不,رقم,نہیں
loginWith,Login with,Iniciar con,"Зайдите в учетную запись, используя",로그인,でログイン,Entra con,Einloggen mit,Connectez-vous avec,Login met,登录,تسجيل الدخول مع,کے ساتھ لاگ ان
orText,OR,O,ИЛИ ЖЕ,또는,また,O,ODER,OU,OF,要么,أو,یا
taxAndDuties,Tax and Duties Included.,Impuestos y deberes incluidos.,Налог и обязанности включены.,세금 및 의무가 포함되었습니다.,税金と義務が含まれています。,Tasse e doveri inclusi.,Steuer und Pflichten enthalten.,Taxe et droits inclus.,Belasting en taken inbegrepen.,包括税收和关税。,الضرائب والواجبات المشمولة.,ٹیکس اور فرائض شامل ہیں۔
asLowAs,As low as,Tan bajo como,"Как низко, как",낮은,と低いです,A partire da,So niedrig wie,Aussi bas que,Zo laag als,低至,منخفضة تصل إلى,جتنا کم
thereAreNoMessages,There are no Messages,No hay mensajes,Нет сообщений,메시지가 없습니다,メッセージはありません,Non ci sono messaggi,Es gibt keine Nachrichten,Il n'y a pas de messages,Er zijn geen berichten,没有消息,لا توجد رسائل,کوئی پیغامات نہیں ہیں
invalidPassword,Invalid Password,Contraseña invalida,Неверный пароль,유효하지 않은 비밀번호,無効なパスワード,Password non valida,Ungültiges Passwort,Mot de passe incorrect,ongeldig wachtwoord,无效的密码,رمز مرور خاطئ,غلط پاسورڈ
passwordDoNotMatchMsg,Passwords you have entered do not match,Las contraseñas que ha ingresado no coinciden,"Пароли, которые вы ввели, не совпадают",입력 한 암호는 일치하지 않습니다,入力したパスワードは一致しません,Le password che hai inserito non corrispondono,"Passwörter, die Sie eingegeben haben",Les mots de passe que vous avez entrés ne correspondent pas,"Wachtwoorden die u hebt ingevoerd, komen niet overeen",您输入的密码不匹配,كلمات المرور التي أدخلتها لا تتطابق مع,پاس ورڈز جو آپ نے داخل کیے ہیں وہ مماثل نہیں ہیں
